rank,team,short,M,W,L,D,T,NR,NRR,For,Against,Pts,last5
1,Weekend Warriors (WW),WW,32,17,14,0,0,1,-0.207,2043/333,2074/327,35,L|L|W|W|W
2,Royal Cricket Blasters (RCB),RCB,32,14,17,0,0,1,0.207,2074/327,2043/333,29,W|W|L|L|L
