match_id,match_date,innings,batting_team,position,player,runs,balls,fours,sixes,strike_rate,dismissal_type,dismissed_by,caught_by
23454111,2026-03-28,1,Weekend Warriors (WW),1,Vinod Reddy,36,10,3,4,360.00,stumped,Srinivas Vemulapalli,Deepak Kumar
23454111,2026-03-28,1,Weekend Warriors (WW),2,Subbu,1,3,0,0,33.33,caught,Mahesh,Murali Cn Cricket
23454111,2026-03-28,1,Weekend Warriors (WW),3,Karthik Reddy,3,5,0,0,60.00,caught,Gopi,Arun
23454111,2026-03-28,1,Weekend Warriors (WW),4,Balaji Balaraju,0,3,0,0,0.00,caught,Mahesh,Deepak Kumar
23454111,2026-03-28,1,Weekend Warriors (WW),5,Ashik Jain,31,18,4,2,172.22,bowled,Arun,
23454111,2026-03-28,1,Weekend Warriors (WW),6,Srikanta Maddara,22,13,4,0,169.23,not_out,,
23454111,2026-03-28,1,Weekend Warriors (WW),7,Sarat Kumar,18,15,2,1,120.00,caught,Deepak Kumar,Leel
23454111,2026-03-28,1,Weekend Warriors (WW),8,Rajkumar Muddasu,4,5,0,0,80.00,caught,Vishwanath Cricket,Murali Cn Cricket
23454111,2026-03-28,1,Weekend Warriors (WW),9,Firoz,6,7,1,0,85.71,retired_hurt,,
23454111,2026-03-28,1,Weekend Warriors (WW),10,Mithun,2,4,0,0,50.00,bowled,Mahesh,
23454111,2026-03-28,1,Weekend Warriors (WW),11,Ashok,0,1,0,0,0.00,caught,Mahesh,Vinay KS
23454111,2026-03-28,1,Weekend Warriors (WW),12,Lokesh kumar YC  (c),6,6,1,0,100.00,not_out,,
23454111,2026-03-28,1,Weekend Warriors (WW),13,Sudheer Nidiginti,0,1,0,0,0.00,caught,Mahesh,Vinay KS
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),1,Vinay KS  (wk),6,8,1,0,75.00,caught,Mithun,Sudheer Nidiginti
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),2,shaik azeed,20,9,2,1,222.22,caught,Mithun,Subbu
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),3,Manjunath H,7,7,1,0,100.00,caught,Mithun,Sarat Kumar
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),4,Mahesh,18,11,2,1,163.64,bowled,Vinod Reddy,
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),5,Leel,33,15,3,2,220.00,caught,Srikanta Maddara,Subbu
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),6,Arun,35,15,2,4,233.33,not_out,,
23454111,2026-03-28,2,Royal Cricket Blasters (RCB),7,Vishwanath Cricket,12,6,2,0,200.00,not_out,,
23454074,2026-03-28,1,Weekend Warriors (WW),1,Sarat Kumar,36,34,4,1,105.88,caught,Arun,shaik azeed
23454074,2026-03-28,1,Weekend Warriors (WW),2,Ashok,2,3,0,0,66.67,caught,Leel,Kranthi 202 Midtown Raaga
23454074,2026-03-28,1,Weekend Warriors (WW),3,Ashik Jain,28,17,0,4,164.71,bowled,Srinivas Vemulapalli,
23454074,2026-03-28,1,Weekend Warriors (WW),4,Balaji Balaraju,11,17,1,0,64.71,bowled,Mahesh,
23454074,2026-03-28,1,Weekend Warriors (WW),5,Karthik Reddy,2,2,0,0,100.00,run_out,Arun,
23454074,2026-03-28,1,Weekend Warriors (WW),6,Rajkumar Muddasu,12,9,2,0,133.33,caught,Srinivas Vemulapalli,Kranthi 202 Midtown Raaga
23454074,2026-03-28,1,Weekend Warriors (WW),7,Srikanta Maddara,0,1,0,0,0.00,caught,Mahesh,Mahesh
23454074,2026-03-28,1,Weekend Warriors (WW),8,Firoz,5,6,1,0,83.33,not_out,,
23454074,2026-03-28,1,Weekend Warriors (WW),9,Vinod Reddy,6,2,1,0,300.00,not_out,,
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),1,Vinay KS,15,12,2,1,125.00,bowled,Vinod Reddy,
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),2,Vishwanath Cricket,5,6,0,0,83.33,caught,Mithun,Sarat Kumar
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),3,Leel,7,3,0,1,233.33,caught,Mithun,Karthik Reddy
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),4,Arun,3,3,0,0,100.00,caught,Sudheer Nidiginti,Lokesh kumar YC
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),5,Satyam Goyal,35,23,4,0,152.17,run_out,Sarat Kumar,
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),6,Murali Cn Cricket,1,3,0,0,33.33,bowled,Sudheer Nidiginti,
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),7,Deepak Kumar,15,13,1,1,115.38,caught,Srikanta Maddara,Lokesh kumar YC
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),8,Manjunath H,5,9,1,0,55.56,caught,Srikanta Maddara,Ashok
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),9,shaik azeed,1,3,0,0,33.33,caught,Lokesh kumar YC,Ashok
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),10,Kranthi 202 Midtown Raaga,7,6,1,0,116.67,caught,Vinod Reddy,Sarat Kumar
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),11,Arun 102.raaga,4,5,0,0,80.00,caught,Sudheer Nidiginti,Srikanta Maddara
23454074,2026-03-28,2,Royal Cricket Blasters (RCB),12,Mahesh,3,3,0,0,100.00,not_out,,
