match_id,innings,batting_team,player,player_id,how_out,runs,balls,fours,sixes,strike_rate
23454111,1,Weekend Warriors (WW),Vinod Reddy,36285741,st †Deepak Kumar b Srinivas Vemulapalli,36,10,3,4,360.00
23454111,1,Weekend Warriors (WW),Subbu,43374562,c Murali Cn Cricket b Mahesh,1,3,0,0,33.33
23454111,1,Weekend Warriors (WW),Karthik Reddy,36266644,c Arun b Gopi,3,5,0,0,60.00
23454111,1,Weekend Warriors (WW),Balaji Balaraju,23317827,c †Deepak Kumar b Mahesh,0,3,0,0,0.00
23454111,1,Weekend Warriors (WW),Ashik Jain,24133065,b Arun,31,18,4,2,172.22
23454111,1,Weekend Warriors (WW),Srikanta Maddara,15990447,not out,22,13,4,0,169.23
23454111,1,Weekend Warriors (WW),Sarat Kumar,23611429,c Leel b Deepak Kumar,18,15,2,1,120.00
23454111,1,Weekend Warriors (WW),Rajkumar Muddasu,32252331,c Murali Cn Cricket b Vishwanath Cricket,4,5,0,0,80.00
23454111,1,Weekend Warriors (WW),Firoz,45730696,retired hurt,6,7,1,0,85.71
23454111,1,Weekend Warriors (WW),Mithun,39978351,b Mahesh,2,4,0,0,50.00
23454111,1,Weekend Warriors (WW),Ashok,23317824,c †Vinay KS b Mahesh,0,1,0,0,0.00
23454111,1,Weekend Warriors (WW),Lokesh kumar YC  (c),23317841,not out,6,6,1,0,100.00
23454111,1,Weekend Warriors (WW),Sudheer Nidiginti,42607076,c †Vinay KS b Mahesh,0,1,0,0,0.00
23454111,2,Royal Cricket Blasters (RCB),Vinay KS  (wk),36284615,c Sudheer Nidiginti b Mithun,6,8,1,0,75.00
23454111,2,Royal Cricket Blasters (RCB),shaik azeed,32475183,c Subbu b Mithun,20,9,2,1,222.22
23454111,2,Royal Cricket Blasters (RCB),Manjunath H,36285742,c Sarat Kumar b Mithun,7,7,1,0,100.00
23454111,2,Royal Cricket Blasters (RCB),Mahesh,27687690,b Vinod Reddy,18,11,2,1,163.64
23454111,2,Royal Cricket Blasters (RCB),Leel,7577506,c Subbu b Srikanta Maddara,33,15,3,2,220.00
23454111,2,Royal Cricket Blasters (RCB),Arun,43156255,not out,35,15,2,4,233.33
23454111,2,Royal Cricket Blasters (RCB),Vishwanath Cricket,48022578,not out,12,6,2,0,200.00
23454074,1,Weekend Warriors (WW),Sarat Kumar,23611429,c shaik azeed b Arun,36,34,4,1,105.88
23454074,1,Weekend Warriors (WW),Ashok,23317824,c Kranthi 202 Midtown Raaga b Leel,2,3,0,0,66.67
23454074,1,Weekend Warriors (WW),Ashik Jain,24133065,b Srinivas Vemulapalli,28,17,0,4,164.71
23454074,1,Weekend Warriors (WW),Balaji Balaraju,23317827,b Mahesh,11,17,1,0,64.71
23454074,1,Weekend Warriors (WW),Karthik Reddy,36266644,run out Arun,2,2,0,0,100.00
23454074,1,Weekend Warriors (WW),Rajkumar Muddasu,32252331,c Kranthi 202 Midtown Raaga b Srinivas Vemulapalli,12,9,2,0,133.33
23454074,1,Weekend Warriors (WW),Srikanta Maddara,15990447,c&b Mahesh,0,1,0,0,0.00
23454074,1,Weekend Warriors (WW),Firoz,45730696,not out,5,6,1,0,83.33
23454074,1,Weekend Warriors (WW),Vinod Reddy,36285741,not out,6,2,1,0,300.00
23454074,2,Royal Cricket Blasters (RCB),Vinay KS,36284615,b Vinod Reddy,15,12,2,1,125.00
23454074,2,Royal Cricket Blasters (RCB),Vishwanath Cricket,48022578,c Sarat Kumar b Mithun,5,6,0,0,83.33
23454074,2,Royal Cricket Blasters (RCB),Leel,7577506,c Karthik Reddy b Mithun,7,3,0,1,233.33
23454074,2,Royal Cricket Blasters (RCB),Arun,43156255,c Lokesh kumar YC b Sudheer Nidiginti,3,3,0,0,100.00
23454074,2,Royal Cricket Blasters (RCB),Satyam Goyal,46521634,run out Sarat Kumar,35,23,4,0,152.17
23454074,2,Royal Cricket Blasters (RCB),Murali Cn Cricket,42607170,b Sudheer Nidiginti,1,3,0,0,33.33
23454074,2,Royal Cricket Blasters (RCB),Deepak Kumar,36285780,c Lokesh kumar YC b Srikanta Maddara,15,13,1,1,115.38
23454074,2,Royal Cricket Blasters (RCB),Manjunath H,36285742,c Ashok b Srikanta Maddara,5,9,1,0,55.56
23454074,2,Royal Cricket Blasters (RCB),shaik azeed,32475183,c Ashok b Lokesh kumar YC,1,3,0,0,33.33
23454074,2,Royal Cricket Blasters (RCB),Kranthi 202 Midtown Raaga,48699330,c Sarat Kumar b Vinod Reddy,7,6,1,0,116.67
23454074,2,Royal Cricket Blasters (RCB),Arun 102.raaga,42545298,c Srikanta Maddara b Sudheer Nidiginti,4,5,0,0,80.00
23454074,2,Royal Cricket Blasters (RCB),Mahesh,27687690,not out,3,3,0,0,100.00
