match_id,innings,batting_team,over_ball,bowler,batsman,run,extra_type,extra_run,is_wicket,is_boundary,is_dot_ball,commentary
23684171,1,Weekend Warriors (WW),4.3,Murali Cn Cricket,Srikanta Maddara,0,WD,0,0,0,0,"Murali Cn Cricket to Srikanta Maddara, wide"
23684171,1,Weekend Warriors (WW),4.2,Murali Cn Cricket,Srikanta Maddara,2,,0,0,0,0,"Murali Cn Cricket to Srikanta Maddara, 2 runs"
23684171,1,Weekend Warriors (WW),4.1,Murali Cn Cricket,Ashok,1,,0,0,0,0,"Murali Cn Cricket to Ashok, 1 run"
23684171,1,Weekend Warriors (WW),4.0,Gopi,Srikanta Maddara,4,,0,0,1,0,"Gopi to Srikanta Maddara, FOUR"
23684171,1,Weekend Warriors (WW),3.5,Gopi,Srikanta Maddara,6,,0,0,1,0,"Gopi to Srikanta Maddara, SIX"
23684171,1,Weekend Warriors (WW),3.4,Gopi,Srikanta Maddara,2,,0,0,0,0,"Gopi to Srikanta Maddara, 2 runs"
23684171,1,Weekend Warriors (WW),3.3,Gopi,Srikanta Maddara,0,,0,0,0,1,"Gopi to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),3.2,Gopi,Srikanta Maddara,0,,0,0,0,1,"Gopi to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),3.1,Gopi,Ashok,1,,0,0,0,0,"Gopi to Ashok, 1 run"
23684171,1,Weekend Warriors (WW),3.0,Mithun,Srikanta Maddara,0,,0,0,0,1,"Mithun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),2.5,Mithun,Srikanta Maddara,0,,0,0,0,1,"Mithun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),2.4,Mithun,Ashok,1,,0,0,0,0,"Mithun to Ashok, 1 run"
23684171,1,Weekend Warriors (WW),2.3,Mithun,Srikanta Maddara,1,,0,0,0,0,"Mithun to Srikanta Maddara, 1 run"
23684171,1,Weekend Warriors (WW),2.2,Mithun,Srikanta Maddara,0,,0,0,0,1,"Mithun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),2.1,Mithun,Srikanta Maddara,0,,0,0,0,1,"Mithun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),2.0,Arun,Srikanta Maddara,1,,0,0,0,0,"Arun to Srikanta Maddara, 1 run"
23684171,1,Weekend Warriors (WW),1.5,Arun,Srikanta Maddara,0,,0,0,0,1,"Arun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),1.4,Arun,Srikanta Maddara,0,,0,0,0,1,"Arun to Srikanta Maddara, no run"
23684171,1,Weekend Warriors (WW),1.3,Arun,Ashok,1,,0,0,0,0,"Arun to Ashok, 1 run"
23684171,1,Weekend Warriors (WW),1.2,Arun,Firoz,0,,0,1,0,1,"Arun to Firoz, OUT Caught out, Caught by Vinay KS"
23684171,1,Weekend Warriors (WW),1.1,Arun,Srikanta Maddara,1,,0,0,0,0,"Arun to Srikanta Maddara, 1 run"
23684171,1,Weekend Warriors (WW),1.0,Srinivas Vemulapalli,Firoz,0,,0,0,0,1,"Srinivas Vemulapalli to Firoz, no run"
23684171,1,Weekend Warriors (WW),0.5,Srinivas Vemulapalli,Firoz,6,,0,0,1,0,"Srinivas Vemulapalli to Firoz, SIX"
23684171,1,Weekend Warriors (WW),0.4,Srinivas Vemulapalli,Firoz,0,,0,0,0,1,"Srinivas Vemulapalli to Firoz, no run"
23684171,1,Weekend Warriors (WW),0.3,Srinivas Vemulapalli,Firoz,2,,0,0,0,0,"Srinivas Vemulapalli to Firoz, 2 runs"
23684171,1,Weekend Warriors (WW),0.2,Srinivas Vemulapalli,Firoz,0,,0,0,0,1,"Srinivas Vemulapalli to Firoz, no run"
23684171,1,Weekend Warriors (WW),0.1,Srinivas Vemulapalli,Firoz,0,,0,0,0,1,"Srinivas Vemulapalli to Firoz, no run"
23684171,2,Royal Cricket Blasters (RCB),10.0,Srikanta Maddara,Manjunath H,4,,0,0,1,0,"Srikanta Maddara to Manjunath H, FOUR"
23684171,2,Royal Cricket Blasters (RCB),9.5,Srikanta Maddara,Murali Cn Cricket,1,,0,0,0,0,"Srikanta Maddara to Murali Cn Cricket, 1 run"
23684171,2,Royal Cricket Blasters (RCB),9.5,Srikanta Maddara,Murali Cn Cricket,0,WD,0,0,0,0,"Srikanta Maddara to Murali Cn Cricket, wide"
23684171,2,Royal Cricket Blasters (RCB),9.4,Srikanta Maddara,Murali Cn Cricket,0,,0,0,0,1,"Srikanta Maddara to Murali Cn Cricket, no run"
23684171,2,Royal Cricket Blasters (RCB),9.3,Srikanta Maddara,Manjunath H,1,,0,0,0,0,"Srikanta Maddara to Manjunath H, 1 run"
23684171,2,Royal Cricket Blasters (RCB),9.2,Srikanta Maddara,Murali Cn Cricket,1,,0,0,0,0,"Srikanta Maddara to Murali Cn Cricket, 1 run"
23684171,2,Royal Cricket Blasters (RCB),9.1,Srikanta Maddara,Manjunath H,1,,0,0,0,0,"Srikanta Maddara to Manjunath H, 1 run"
23684171,2,Royal Cricket Blasters (RCB),9.0,Vinod Reddy,Murali Cn Cricket,0,,0,0,0,1,"Vinod Reddy to Murali Cn Cricket, no run"
23684171,2,Royal Cricket Blasters (RCB),8.5,Vinod Reddy,Murali Cn Cricket,0,,0,0,0,1,"Vinod Reddy to Murali Cn Cricket, no run"
23684171,2,Royal Cricket Blasters (RCB),8.4,Vinod Reddy,Gopi,0,,0,1,0,1,"Vinod Reddy to Gopi, OUT Caught out, Caught by Pabitra"
23684171,2,Royal Cricket Blasters (RCB),8.3,Vinod Reddy,Manjunath H,1,,0,0,0,0,"Vinod Reddy to Manjunath H, 1 run"
23684171,2,Royal Cricket Blasters (RCB),8.2,Vinod Reddy,Manjunath H,0,,0,0,0,1,"Vinod Reddy to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),8.1,Vinod Reddy,Manjunath H,0,,0,0,0,1,"Vinod Reddy to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),8.0,Lokesh kumar YC,Manjunath H,1,,0,0,0,0,"Lokesh kumar YC to Manjunath H, 1 run"
23684171,2,Royal Cricket Blasters (RCB),7.5,Lokesh kumar YC,Gopi,1,,0,0,0,0,"Lokesh kumar YC to Gopi, 1 run"
23684171,2,Royal Cricket Blasters (RCB),7.4,Lokesh kumar YC,Mithun,0,,0,1,0,1,"Lokesh kumar YC to Mithun, OUT Caught out, Caught by Sudhir Midtown"
23684171,2,Royal Cricket Blasters (RCB),7.3,Lokesh kumar YC,Mithun,0,,0,0,0,1,"Lokesh kumar YC to Mithun, no run"
